title,description,article_text,label
RUGBY. Top 14. Le Stade Français peut-il tout gâcher en cette fin de saison ?,"3ème avec un petit matelas d’avance sur le reste des prétendants aux phases finales du Top 14, le Stade Français n’a en revanche pas totalement assuré sa qualification…","Qui dit mois de mai, dit fin de la saison régulière du Top 14, et début des phases finales. Des rendez-vous toujours dingues, qui se feront sans aucun doute avec les deux mastodontes du rugby français actuellement, le Stade Toulousain et le Stade Rochelais. Respectivement premier et deuxième du championnat, les deux écuries ont une avance suffisante (même si rien n’est fait mathématiquement) pour, au minimum, recevoir lors du barrage, même si l’objectif est clairement la qualification directe en demi-finale. Et derrière les deux derniers champions d’Europe, l’on retrouve le Stade Français. 3ᵉ avec 6 points d’avance sur l’UBB (4ᵉ) et 8 points sur le Racing (7ᵉ), le club de la Capitale semble en (très) bonne posture pour atteindre lui aussi le stade des phases finales. Néanmoins, au vu du calendrier qui attend les hommes de Quesada, jumelé à un niveau de jeu peut-être moins élevé qu’au début de saison (malgré un bilan de 3 victoires sur les 5 derniers matchs), ces derniers devront rester vigilants, et ce jusqu’à la dernière journée. Samedi, les Parisiens affronteront notamment une équipe de Clermont qui, même si elle n’a plus rien à jouer, a montré de quoi elle était capable sur la pelouse du Stade Rochelais il y a deux semaines. Une rencontre piégeuse, qui sera suivie par une réception tendue de Lyon, avant de se déplacer lors de l’ultime journée à La Rochelle. Deux voyages et une réception de haut niveau, voilà donc ce qui attend les coéquipiers de Joris Segonds en cette fin de saison.Si le calendrier du Stade Français n’est pas aussi abordable que pour certains de ses concurrents (comme le LOU), n’oublions pas que le deuxième club le plus titré de France a gagné le droit d’avoir un ‘’joker’’ en cette fin de saison. De plus, et malgré une forme qui, comme on l’a dit, peut laisser à désirer, Paris sait désormais l’emporter, même sans la manière. Chose qui n’était par exemple pas le cas l’année dernière. Les rencontres face à l’UBB, ou plus récemment contre Brive et Toulouse, confirment d’ailleurs ce constat. À partir de là, il paraît peu probable de voir le Stade Français trébucher dans la dernière ligne droite. De plus, les Parisiens pourront se délecter de voir leurs principaux concurrents s’affronter durant ces 3 dernières journées, et donc d’y laisser des plumes au classement.Et concernant un éventuel barrage à domicile, Paris peut-il passer à côté ? D’un point de vue mathématique, bien entendu, d’autant que derrière l’UBB, 5 équipes se tiennent en 4 points. Si le RCT, par sa forme certes, mais aussi grâce à son calendrier (2 réceptions), reste une option sérieuse, le LOU, ainsi que l’UBB, auront leur carte à jouer. Et plus particulièrement les coéquipiers de Dumortier, qui, en cas de succès dans la Capitale lors de la 25ème journée, se donneraient l’occasion d’intégrer le Top 4, qu’ils ont quitté il y a peu. Vous l’aurez compris, pour s’assurer une fin de saison tranquille, le Stade Français devra bien figurer à l’extérieur, mais surtout s’imposer absolument sur son terrain face à Lyon, dans une sorte de 1/8ème de finale…",rugby
"NBA – L’énorme cinq majeur all-time de Kobe Bryant, grosse surprise parmi les joueurs !","Tout le monde a sa liste de joueurs préférés. Evidemment, outre le niveau intrinsèque de chaque basketteur ou son palmarès, classer les meilleurs est aussi très subjectif et dépend de la sensibilité de chacun. Construire le plus grand 5 de tous les temps est un exercice encore plus complexe et celui de Kobe Bryant comporte une grosse surprise… ","Le débat autour du meilleur joueur de tous les temps font souvent rage. LeBron James ? Michael Jordan ? Chacun a sa vision des choses et les avis se construisent souvent autour de ce qu’aiment les fans. Pour ce qui est de constituer un 5 de départ all-time, la tâche est encore plus compliquée. Avec l’évolution de la NBA et des manières de jouer, la comparaison des époques est un exercice périlleux.Pour autant, on demande souvent aux joueurs quel est leur starting five. Après tout, ce sont les meilleurs juges puisqu’ils ont tous affronté des talents d’exception. Michael Jordan semble être le joueur qui fait l’unanimité dans les avis, mais les quatre autres places sont disputées. Kobe Bryant a un 5 de départ bien déterminé qu’il a confectionné en fonction de ses admirations et le moins qu’on puisse dire, c’est qu’il y a une surprise…Au détour d’une interview pour ABC vers la fin de sa carrière, Black Mamba a révélé le meilleur cinq qu’il pouvait constituer. Et l’ancien Laker avait laissé un gros nom précis de côté !Je ne me mettrais jamais dans le cinq de départ. Je mettrais les joueurs dont j’ai le plus appris, ça donnerait : Jordan, Magic, Bird, Hakeem Olajuwon et Jerry West.Quand on interroge d’autres anciennes gloires de la NBA, nombreux sont ceux à intégrer Kobe dans leur formation titulaire. Allen Iverson avait notamment réservé cet honneur à l’ancien n°24, mais c’est surtout Jamal Crawford qui avait déclaré qu’il ne donnerait pas son respect à toute personne mettant l’ex-partenaire de Shaquille O’Neal en dehors de son Top 5. C’est dire le respect qu’il inspire.Kobe se retire pourtant lui-même du meilleur cinq possible et y intègre des joueurs qui l’ont personnellement touché. Michael Jordan était son idole, Jerry West et Magic Johnson étaient des figures emblématiques à Los Angeles et le premier des deux est d’ailleurs celui qui l’a fait venir le soir de la draft 1996. Pour ce qui est de Hakeem Olajuwon, la légende de Houston s’était chargée de faire progresser son footwork à l’entrainement.Kobe Bryant working out with Hakeem Olajuwon.It should be noted that Kobe went to Hakeem for training a month AFTER he won the championship in 2009. This dude was the best player and still wanted to learn and get better. pic.twitter.com/VVfQM54c9WSi certains noms manquent à l’appel, le cinq majeur que propose Kobe Bryant donne l’eau à la bouche. La sensibilité du Black Mamba a parlé et si vous demandez à plusieurs joueurs actuels, Kobe devrait figurer dans ce 5 de départ. Il faut dire que si Jordan a inspiré Kobe, ce dernier a lui aussi été le modèle de nombreuses stars…",basket
"PSG : entre Lionel Messi et Paris, les coulisses d’un divorce","Quelques jours avant la sanction disciplinaire du club de la capitale envers la star argentine, les deux parties avaient acté la fin de l’aventure."," L’histoire va donc se terminer au 30 juin et il y a encore quatre mois tout indiquait qu’elle se poursuivrait. Au sortir de la Coupe du monde, Lionel Messi et Paris s'étaient dit oui, comme pour prolonger un peu plus une romance qui avait mal commencé mais trouvait une embellie inattendue depuis le début de la saison.   Pour matérialiser la suite, le PSG et l’entourage de Jorge Messi se sont d’abord donné rendez-vous en février. Dans ce premier échange, le champion de France propose à la star de prolonger d’une saison et de revoir son salaire à la baisse afin d’entrer dans les clous du fair-play financier qui prévoit que la masse salariale du club passe de 90 à 80% de son chiffre d’affaires.   Dans ces conditions, l’affaire s’annonçait complexe. En effet, l’ancien Barcelonais ne comprenait pas pourquoi il devrait baisser son salaire alors qu’il est dans le même temps l’un des actifs les plus importants pour le club en termes de business. Plusieurs sources parisiennes laissaient même filtrer que la star aurait demandé à ce que ses émoluments soient revus à la hausse compte tenu des excellents chiffres réalisés par le club depuis son arrivée.  Le père de Messi a informé le PSG il y a un mois  Ces derniers jours, l’histoire a pris une tournure différente. Selon des informations de Fabrizio Romano que nous sommes en mesure de confirmer, Jorge Messi a signifié aux dirigeants parisiens que l’aventure française de son fils allait se terminer au 30 juin. De son côté, Paris a décidé de ne pas enchérir pour convaincre le septuple Ballon d’or de rester. Bien que le PSG s'obstine à utiliser le conditionnel, la direction du club et Doha se sont mis d'accord sur le fait que Lionel Messi ne prolongera pas son contrat.  C’est dans ce contexte que Lionel Messi s’est rendu lundi en Arabie saoudite pour honorer une opération marketing avec l’office de tourisme locale sans l’autorisation de son club qui avait été pourtant prévenu en amont par la star argentine. Et que le PSG l’a informé lundi d’une sanction disciplinaire prévoyant une mise à pied temporaire et une suspension de salaire qui pourrait aller jusqu’à deux semaines. Une décision qui peut paraître disproportionnée au regard des faits.   L’Arabie saoudite, la MLS ou la Premier League comme destination ?   Si l’avenir de Messi s’écrit loin de Paris, rien ne dit qu’il se rapproche de facto d’un retour à Barcelone comme Goal l’a appris. Même si Xavi Herández pousse pour le voir revenir dans son club de toujours et que le vestiaire blaugrana serait aussi ravi de le voir revenir, tout indique que l’affaire n’est pas impossible mais très compliquée D’abord parce que l’équation du fair-play financier semble complexe à résoudre mais également parce que Messi n'a toujours pas reçu d'offre spécifique de la part du Barça, malgré toutes les rumeurs apparues dans les médias.  Pour décider de son avenir, Messi a encore du temps. Il dispose d'une offre juteuse de la part d'un club arabe qui lui propose un salaire astronomique. L’autre intérêt vient de la MLS et l’Inter Miami qui, il y a quelques mois, n’était pas l’option privilégiée mais qui au regard des événements est de nouveau intéressé par la signature de l'Argentin. À cela s'ajoute l'intérêt de plusieurs clubs européens, principalement de Premier League qui regardent de plus en plus attentivement la situation.  Quel est le meilleur numéro 9 au monde ? Quel est le meilleur numéro 9 au monde ?",football
"NBA – Polémique Jordan Poole, Draymond Green donne son avis cash !","Ce n’est pas l’amour entre Draymond Green et Jordan Poole depuis leur incident en début de saison. Des tensions ont naturellement vu le jour, on était donc curieux de connaître la position de Dray sur le tir raté de son coéquipier face aux Lakers. Et c’est pour le moins surprenant…","Comme face aux Kings, les Warriors ont entamé leur série de playoffs par une défaite ce mardi soir contre les Lakers. Ils ne sont pas encore à 0-2, mais attention de ne pas jouer avec le feu, surtout face à une telle équipe et un Anthony Davis en grande forme. Cette défaite pour les hommes de Steve Kerr a en tout cas été marquée par un tir pour le moins risqué de la part de Jordan Poole.Alors qu’il y avait encore 10 secondes au compteur de l’horloge, Poole a tenté un tir lointain à trois points (revoir ici), ouvert certes, pour tenter de ramener son équipe à égalité. Certains applaudissent le joueur, quand d’autres estiment qu’il aurait pu choisir une meilleure option au vu du temps restant. Draymond Green, dans son habituel podcast, a rapidement donné son avis.Draymond Green didn’t have a problem with Jordan Poole’s late 3 (Via @TheVolumeSports) pic.twitter.com/Y4SffEjBEXDraymond Green sur Jordan Poole : « Je sais que tout le monde parle du dernier trois points qu’il a raté. Honnêtement, j’aime bien le tir. Il aurait pu se rapprocher un peu mais il sait shooter. Il avait un bon angle, alors oui il aurait pu se rapprocher, mais nous n’avons pas perdu ce match à cause de ça. Avant ça, il était à 6/10, donc s’il prend ce tir, on vit avec. »Poole était en effet dans un bon soir contre les Lakers, au point qu’il avait réussi un autre tir primé peu avant pour ramener les siens au même niveau des Angelinos. Un shoot compliqué mais pas forcément impossible à mettre pour un shooteur en forme.I’m ngl they definitely could have gotten a better shot but jordan Poole shot wasn’t badJe ne vais pas mentir il aurait pu avoir un meilleur tir mais celui de Jordan Poole n’était pas mauvaisBien que loin derrière la ligne, Jordan Poole a tenté sa chance contre les Lakers, sans succès. Pas de quoi énerver Draymond Green, qui estime que l’arrière a eu raison au vu de sa soirée. Reste à savoir si le jeune joueur est maintenant capable d’être régulier…",basket
La somme astronomique demandée par Naples pour Victor Osimhen,"Courtisé par de nombreux club en Europe, Victor Osimhen ne sera pas cédé à moins de 150 millions d'euros par Naples."," Si le Napoli s'apprête à fêter son premier titre de champion d'Italie depuis 33 ans (il ne leur manque qu'un point ou un faux pas de la Lazio), il le doit en grande partie à Victor Osimhen. Arrivé en 2020 en provenance de Lille, l'international nigérian réalise une troisième saison exceptionnelle en Campanie. Avec 26 buts en 33 matches toutes compétitions confondues, dont 21 en 26 matches de Série A, l'ex-Lillois a franchi un cap et fait désormais l'objet de convoitise parmi les plus grands clubs européens, dont le Paris Saint-Germain et le Bayern Munich. 150 millions ou rien pour Osimhen  Et s'il sera difficile de conserver leur goleador, les dirigeants du club ne compte pas le céder aussi facilement. D'après le Corriere della Sera, il faudra débourser 150 millions d'euros pour s'attacher les services du joueur de 24 ans, ce qui ferait de lui le 3è transfert le plus cher de l'histoire derrière Neymar et Kylian Mbappé. D'après le média italien, il s'agit d'une condition non-négociable pour vendre Osimhen. 🚨 Le Bayern est refroidi pour la signature de Victor Osimhen 🇳🇬 à cause de son prix. Le club ne paiera pas plus de 100 M€ pour un nouvel attaquant.Naples en exige 150 M€. 🤑(@Plettigoal / @SkySportDE) pic.twitter.com/GctZD2u3sg Et c'est encore une fois le Paris Saint-Germain qui pourrait être l'auteur d'un transfert astronomique. Osimhen est en effet la priorité du club de la capitale pour renforcer son attaque, notamment avec le départ probable de Lionel Messi. De son côté, le Bayern Munich ne serait pas prêt à débourser plus de 100 millions d'euros pour s'attacher les services de l'attaquant napolitain.  Lequel dispose également de prétendants en Angleterre, où il a confié rêver d'évoluer un jour. Chelsea et Manchester United sont attentifs à sa situation. Le dossier Osimhen risque d'animer le mercato estival, et les têtes pensantes de Naples espèrent voir monter les enchères.",football
NBA – Les Lakers ont-ils triché ? La vidéo qui fait polémique !,"Au terme d’un match ultra-serré, les Lakers sont allés glaner une importante victoire au Chase Center pour récupérer l’avantage du terrain. Si Jordan Poole avait le ballon de l’égalisation à quelques secondes de la fin, une vidéo fait polémique et est à l’origine de graves accusations contre Darvin Ham…","Si le score final est de 112-117, les Warriors ont bien eu l’opportunité d’égaliser en fin de match contre les Lakers. Grâce à un Stephen Curry plutôt chaud dans le clutch, Golden State a presque comblé un déficit de 14 points, et c’est Jordan Poole qui a eu le tir pour revenir à hauteur à dix secondes du buzzer. Libre d’avancer et de se mettre en meilleure position, l’arrière a pris une bombe à 12 mètres, au grand désarroi du Chef.Mais malgré la distance, Jordan Poole semblait relativement ouvert, et quand on connait son talent et sa folie on se dit qu’il était parfaitement capable de marquer. Avant cette tentative, il était d’ailleurs sur un joli 60% à 3 points, et une vidéo virale pourrait expliquer ce raté. Darvin Ham, coach des Lakers, pourrait être responsable et est donc accusé de triche par les fans de GS…Look at Ham pic.twitter.com/VeCyPDbw2VRegardez Ham.Dans ce clip, le coach des Lakers apparait clairement avec les deux pieds dans le terrain, et on l’aperçoit également en train faire un grand geste du bras, comme s’il tentait de contrer Jordan Poole au moment de son tir. Du côté des fans, cela ne fait aucun doute que Darvin Ham a triché et que le coéquipier de Stephen Curry a été perturbé par toute cette agitation illégale :How is that legal?Comment est-ce autorisé ?This has to be talked about right? No way a coach be on the court like thatCela devrait être discuté, pas vrai ? Il n’y a pas moyen qu’un coach soit sur le terrain comme ça.Une chose est sûre, il faudra que Jordan Poole et les Warriors passent rapidement à autre chose. Cette défaite à domicile met les hommes de Steve Kerr dans une situation déjà bien inconfortable. On se doute aisément qu’il y aura une réaction de champion.",basket
NBA – Une sulfureuse supportrice s’affiche au MSG et fait le buzz !,"Quand les Knicks brillent en playoffs, le Madison Square Garden fait toujours honneur à son statut de salle la plus prestigieuse de la planète. Non seulement les spectateurs sont chauffés à blanc, mais il faut aussi compter sur la présence de nombreuses stars au bord du terrain. Ce mardi, une actrice a retourné les réseaux sociaux.","Qu’on aime la franchise ou non, force est de constater que la NBA se porte bien mieux quand les Knicks sont compétitifs. S’ils n’ont pas souvent eu l’occasion de le montrer ces dernières années, les fans new yorkais sont en train de prouver leur ferveur en faisant du Madison Square Garden une forteresse en ébullition à chaque match de playoffs. Il en faudra peut-être plus pour venir à bout du Heat, mais l’image de cette institution sera assurément redorée.Parmi les choses qui font de New York une ville si spéciale, il y a la présence de toutes les plus grandes célébrités de la planète au bord du terrain. Réalisateurs, sportifs, humoristes, musiciens, tous se pressent dans la salle mythique de Manhattan pour assister aux exploits de la bande de Tom Thibodeau. Ce mardi, c’est une actrice qui a enflammé les réseaux sociaux par sa présence.All I’m saying is if I was playing in front of Jessica Alba at the Garden I would’ve dropped 50 pic.twitter.com/P8GfpT6GzzTout ce que je dis, c’est que j’aurais mis 50 points si j’avais vu Jessica Alba au Madison Square Garden !Il y a une légende qui veut que les joueurs NBA soient bien meilleurs quand ils essayent d’impressionner une jolie fille dans le public, alors forcément, la victoire des Knicks contre Miami a été liée à la présence de l’actrice des « 4 Fantastiques ». Tous les internautes ont eu la même réaction face à ces images, et ça a beau être un peu beauf, c’est toujours un humour hilarant :How I’m coming once I notice Jessica Alba courtside pic.twitter.com/IVEmOBR3DeComment je jouerais après avoir vu Jessica Alba au bord du terrainJalen Brunson scored 23 points after they showed Jessica Alba court side  pic.twitter.com/Ff9qlTEu65Jalen Brunson a mis 23 points après que les producteurs aient montré Jessica Alba au bord du terrainI'd break Wilt's recordJ’aurais brisé le record de Wilt ChamberlainEt si Jessica Alba était le porte bonheur des Knicks sur cette fin de saison ? Non seulement les Knicks ont gagné en sa présence, mais rarement la franchise n’a fait autant de bruit sur les réseaux sociaux que ce mardi.",basket
Rugby. Top14. Bordeaux-Bègles peut-il faire tomber l'invincible Stade Toulousain à domicile ?,"Alors que la course aux phases finales se resserre en Top 14, l’UBB (4ᵉ) se déplace chez le leader toulousain qui n’a pas perdu un match à domicile cette saison. Peuvent-ils vraiment créer l’exploit ?","Huit défaites, deux victoires et un match nul : l’UBB affiche un tableau de chasse bien maigre loin de ses bases. De son côté, le Stade Toulousain a su garder ses forteresses (Ernest-Wallon et Stadium) inviolées avec onze victoires et un match nul. Une fois ce constat dressé, il est légitime de se poser la question : les Bordelais ont-ils les moyens de gagner ce match crucial ?Le possible retour de l’ouvreur international Matthieu Jalibert pourrait bien peser dans la balance. Les Girondins semblent, en effet, orphelins de leur maître à jouer, la blessure d'Holmes n’a fait qu’accentuer ce manque à l’ouverture. Lors du dernier match face au LOU (victoire 23-9), il a fallu attendre la 69ᵉ minute de jeu pour voir le premier essai de l’UBB qui paraissait jusqu’alors impuissant offensivement. Un match débloqué par un superbe 50/22 trouvé par Jean-Baptiste Dubié, une situation qui sera peut-être l’une des clefs bordelaises. Les hommes Frédéric Charrier sont maîtres en la matière : l’UBB est en effet l’équipe de Top 14 ayant le plus converti ces situations avec cinq essais pour sept 50/22 obtenus.🏉 Thierry Dusautoir : ""L'@UBBrugby a su utiliser le ballon porté à bon escient. Ils ont concrétisé cette belle action (50-22) de Dubié. On a eu la technique dans le jeu au pied et la continuité dans l'opposition collective.""🤩Canal+#Rugby #UBB #TOP14pic.twitter.com/UllGUezH0NDans la course aux phases finales l'UBB (4ᵉ avec 58 points) doit absolument engranger un maximum de points. Lyon (6ᵉ avec 56 points) reçoit le mal classé Perpignan et pourrait dépasser l’UBB tandis que l’opposition entre le Racing 92 (7ᵉ avec 56 points) et l’Aviron Bayonnais (8ᵉ avec 54 points) mettra quelle que soit l’issue la pression pour la qualification.Pratiquement assuré de finir dans les deux premières places du championnat, l’objectif premier est de bien basculer après la désillusion face au Leinster. Oublier l’élimination en Champions Cup et se concentrer sur le dernier objectif : le bouclier de Brennus. En grands compétiteurs, aucun doute que les coéquipiers d’Antoine Dupont auront à cœur de montrer un autre visage. La saison dernière déjà, les Toulousains avaient été éliminés par les mêmes Leinstermen en demi-finale de Champions Cup, résultat : 3 victoires consécutives avec 139 points inscrits, soit une moyenne de 46 points par match, pour seulement 43 encaissés. Les Bordelais sont prévenus…",rugby
"""Un manque de classe terrible"", Micoud dézingue le PSG dans le dossier Messi","L'ancien international français, désormais consultant, a défendu La Pulga suite à sa suspension."," Suspendu pour les deux prochaines semaines après avoir séché l'entraînement et s'être envolé pour l'Arabie Saoudite sans avoir prévenu sa direction, au lendemain d'une défaite houleuse face au FC Lorient, Messi est proche de la sortie. Micoud défend Messi En fin de contrat cet été, Lionel Messi ne va pas être prolongé par le Paris Saint-Germain. Après l'annonce de sa suspension, L'Equipe et RMC, qui avaient anticipé la suspension de l'Argentin, ont été plus loin en annonçant le départ de Lionel Messi en fin de saison. Sondé en attendant le dénouement de cette affaire sur cette sanction XXL, Johan Micoud a défendu la Pulga, estimant que l'institution parisienne a mal géré. ""Dès qu’il signe à Paris, ils savent qu’il a un contrat avec l’Arabie saoudite. Et ca fait deux fois qu’il rate le voyage. Ils auraient pu s’arranger. Tu ne vas pas me dire qu’après Lorient, ils auraient pas pu lui dire : « Allez, vas-y ». Il fallait une sanction, mais de la a parti dans ce délire Comment on peut mettre une sanction comme celle-là ? Là, on parle de Messi quand même."" ""Ça fait 15 ans que c’est le football. Et il n’a jamais fait de vagues dans sa carrière. Le moindre truc, on fait une sanction que je n’ai jamais vue de ma vie. Vous vous rendez compte, il n’a même pas le droit d’aller au Camp des loges. On marche sur la tête là.""  Quel est le meilleur numéro 9 au monde ? Quel est le meilleur numéro 9 au monde ?",football
"NBA – Dans l’ombre, le véritable facteur X des Lakers révélé !","Après avoir vaincu Golden State, les Lakers peuvent se targuer d’avoir livré une prestation aboutie. A l’issue du match, une statistique folle est sortie sur l’un des joueurs de l’effectif, et le facteur X de sur la route du titre est clairement identifié ! ","Au sein d’une même équipe NBA, il y a les stars et les lieutenants. Et certains soirs où les supposés franchise players ne sont pas dans leur assiette, les facteurs X doivent se révéler et permettre à leur équipe de gagner des matchs cruciaux. Pour ce qui est des Lakers, plusieurs noms viennent en tête à l’évocation de ce rôle. Depuis la trade deadline, les Angelinos disposent en effet d’un effectif pléthorique.Austin Reaves, Rui Hachimura et d’autres encore ont déjà brillé depuis le début de ces playoffs, Darvin Ham peut donc se réjouir de sa profondeur d’effectif. La preuve, dans la victoire probante sur le parquet des Warriors ce mardi, cinq joueurs ont terminé la partie à 10 points ou plus. Parmi eux, D’Angelo Russell affiche des stats hallucinantes et s’impose comme le clair élément déterminant des Pourpres et Ors.Les Lakers sont à 13 victoires et 2 défaites quand D’Angelo Russell inscrit 17 points ou plus. 5-0 en playoffs.Avec cette statistique plus que parlante, D-Lo devient le véritable élément déterminant des Lakers. Lorsque le meneur est en forme, son équipe s’impose la majeure partie du temps et devient alors quasiment injouable. Mieux encore, ce bilan prend plus de sens en playoffs. Sur les cinq matchs au cours desquels l’ancien de Minnesota a planté 17 unités ou plus, les Lakers n’ont pas perdu une seule fois.Lors du Game 1 à San Francisco, il a donc marqué 19 points et pris le relais d’un Austin Reaves légèrement plus discret qu’à l’accoutumée. Parce qu’il a rapidement été en confiance, D-Lo n’a pas hésité à prendre le lead de l’attaque des Angelinos en s’autorisant 19 shoots. Il fallait bien ça pour contrer Stephen Curry…Mais attention, Russell n’est pas le seul facteur de réussite chez les hommes de Darvin Ham. Contre la bande de Steve Kerr, il a pu profiter d’un Anthony Davis stratosphérique à la ligne de stats All-time. Avec 30 points et 23 rebonds, AD a clairement assumé son rôle de première option offensive et ne s’est pas caché. Les 19 unités de Dennis Schröder ont également été primordiales pour LA.Si on avait évoqué Jarred Vanderbilt ou Austin Reaves, il s’avère que le véritable game changer de Los Angeles s’appelle D’Angelo Russell. Lorsque le meneur est en forme, c’est toute son équipe qui en profite et le succès est souvent à la clef.",basket
